@timestamp,@billedDuration,@duration,@initDuration,,,
09:28.5,624,192.72,430.95,,,
21:05.8,651,212.97,437.33,,,
32:41.7,692,236.57,454.63,,,
44:16.6,670,227.98,441.71,,,
55:50.6,650,204.6,444.9,,,
07:27.4,628,190.67,436.72,,,
19:02.4,651,207.93,442.5,,,
30:38.9,657,209.22,447.07,,,
42:14.7,647,218.63,427.89,,,
53:49.1,677,222.7,454.14,,653.4,696.05
05:24.0,651,216.39,433.61,,,
17:00.1,608,187.18,419.95,,,
28:35.2,639,212.06,426.42,,,
40:09.0,663,219.4,443.32,,,
51:41.9,617,188.2,428.23,,,
03:16.0,640,206.77,432.42,,,
14:50.6,607,199.9,406.17,,,
26:24.7,663,222.03,440.8,,,
38:00.9,660,209.39,450.01,,,
49:34.5,773,194.07,578.89,,,
