@timestamp,@billedDuration,@duration,@initDuration,total,,,,
09:14.2,17,16.89,1012.32,1029.32,,,,
20:51.3,8,7.29,1028.91,1036.91,,,,
32:26.6,19,18.11,1059.01,1078.01,,,,
44:02.7,17,16.84,1024.38,1041.38,,,,
55:36.6,12,11.44,1046.37,1058.37,,,,
07:12.5,8,7.28,1024.09,1032.09,,,,
18:48.6,10,9.79,1026.83,1036.83,,,1045.942,1078.2285
30:24.6,11,10.27,1042.82,1053.82,,,,
42:01.1,8,7.02,1013.39,1021.39,,,,
53:36.0,8,7.4,1039.72,1047.72,,,,
05:08.9,8,7.76,1024.18,1032.18,,,,
16:45.9,9,8.43,1060.67,1069.67,,,,
28:21.6,17,16.33,1041.02,1058.02,,,,
39:55.1,9,8.17,1056.93,1065.93,,,,
51:29.4,10,9.77,1003.6,1013.6,,,,
03:01.6,8,7.32,1016.03,1024.03,,,,
14:36.6,8,7.16,1020,1028,,,,
26:12.7,22,21.08,1060.38,1082.38,,,,
37:45.6,12,11.28,1034.01,1046.01,,,,
49:20.6,8,7.41,1055.18,1063.18,,,,
