@timestamp,@billedDuration,@duration,@initDuration,,,
21:38.5,1244,128.24,1115.45,,,
32:10.2,1271,130.65,1140.03,,,
42:40.8,1242,124.25,1117.66,,1287.75,1406
53:11.4,1280,133.66,1145.75,,,
03:41.3,1283,131.09,1151.64,,,
14:13.3,1242,123.66,1117.42,,,
24:43.9,1288,139.48,1147.98,,,
35:14.9,1305,129.57,1175.27,,,
45:46.2,1231,124.63,1106.08,,,
56:15.4,1319,137.23,1181.19,,,
06:49.4,1307,129.44,1177.18,,,
17:23.7,1405,118.75,1285.55,,,
27:54.7,1253,127.23,1125.13,,,
38:25.2,1214,123.74,1089.38,,,
48:55.1,1425,110.59,1314.1,,,
59:25.8,1303,133.69,1169.14,,,
09:55.5,1320,127.81,1191.85,,,
20:27.0,1231,134.94,1095.4,,,
30:56.9,1263,126.87,1135.77,,,
41:27.7,1329,133.12,1195.51,,,
