@timestamp,@duration,@initDuration
54:24.8,3.24,
54:29.4,2.01,
54:36.4,2.29,
54:40.7,2.23,
54:46.4,2.78,
54:52.2,2.41,
54:57.0,2.26,
55:01.8,1.89,
55:06.3,3.39,
55:10.3,2.64,
55:14.5,2.75,
55:19.7,2.11,
55:23.3,2.85,
55:28.8,1.98,
55:32.9,2.35,
55:38.3,2.06,
55:45.0,3.18,
55:49.2,2.18,
55:53.2,2.26,
55:59.1,2.68,
56:03.2,1.88,
56:07.8,2.41,
56:12.5,2.4,
56:18.0,2.61,
56:22.5,1.96,
56:26.3,2.55,
56:31.4,2.54,
56:36.8,2.16,
56:41.4,2.92,
56:47.4,2.12,
56:53.1,2.57,
56:57.9,2,
57:02.5,2.71,
57:06.7,1.96,
57:10.2,2.15,
57:14.2,2.52,
57:19.8,2.28,
57:23.6,2.37,
57:27.3,2.13,
57:31.8,2.8,
57:37.4,2.36,
57:45.3,2.46,
57:49.9,2,
57:55.0,1.88,
57:58.3,2.58,
58:04.1,2.47,
58:07.7,2.26,
58:11.3,2.44,
58:14.4,2.76,
58:17.4,2.19,
58:20.3,3.55,
58:23.3,2.34,
58:26.3,2.53,
58:29.3,2.07,
58:32.3,2.4,
58:35.3,2.06,
58:38.3,2.99,
58:41.3,2.08,
58:44.3,2.13,
58:47.5,2.14,
58:50.7,2.73,
58:53.7,2.85,
58:56.6,2.55,
58:59.6,2.75,
59:02.7,2.2,
59:05.7,1.93,
59:08.7,2.67,
59:12.1,28.29,
59:15.6,12.72,
59:19.6,2.75,
59:22.7,2.25,
59:25.6,2.61,
59:28.7,2.42,
59:32.5,2.29,
59:35.6,1.91,
59:38.6,2.12,
59:41.7,2.27,
59:44.7,1.94,
59:47.7,2.04,
59:50.9,2,
59:53.9,2.38,
59:57.2,2.38,
00:00.4,1.97,
00:03.5,2.07,
00:06.5,3.02,
00:09.6,2.74,
00:12.6,1.98,
00:16.2,2.38,
00:19.6,2.81,
00:22.7,2.03,
00:26.0,2.08,
00:29.1,2.07,
00:32.2,2.8,
00:35.5,1.83,
00:38.8,2.47,
00:41.7,2.04,
00:44.7,3.02,
00:47.8,2.87,
00:50.9,2.76,
00:54.1,1.9,
00:57.1,2.75,
01:00.1,2.13,
01:03.6,2.03,
01:06.6,2.09,
01:09.6,2.48,
01:12.8,2.24,
01:15.9,1.94,
01:19.0,2.16,
01:22.0,2.31,
01:25.2,2.78,
01:28.1,2.35,
01:31.0,2.18,
01:34.1,2.95,
01:37.1,2.61,
01:40.3,2.21,
01:43.4,2.38,
01:46.5,2.32,
01:49.5,2.44,
01:52.6,2,
01:55.8,3,
01:59.3,1.98,
02:02.2,2.24,
02:05.3,2.14,
02:08.2,2.37,
02:11.9,2.34,
02:15.0,1.79,
02:18.0,2.28,
02:21.0,2.4,
02:24.2,2.34,
02:27.2,2.76,
02:30.2,2.02,
02:33.6,2.38,
02:36.5,2.55,
02:40.6,2.33,
02:43.8,1.98,
02:46.8,1.87,
02:49.9,2.29,
02:52.9,2.34,
02:55.8,2.12,
02:59.2,2.28,
03:02.1,2.49,
