@timestamp,@duration,@initDuration
2022-01-18 01:29:05.688,3.04,
2022-01-18 01:29:09.668,7.04,
2022-01-18 01:29:13.787,17.65,
2022-01-18 01:29:18.483,2.02,
2022-01-18 01:29:22.146,2.33,
2022-01-18 01:29:27.492,2.15,
2022-01-18 01:29:31.167,13.07,
2022-01-18 01:29:35.187,14.25,
2022-01-18 01:29:40.067,12.56,
2022-01-18 01:29:45.708,2.11,
2022-01-18 01:29:51.169,106.23,
2022-01-18 01:29:56.748,74.94,
2022-01-18 01:30:02.807,2.4,
2022-01-18 01:30:06.107,2.29,
2022-01-18 01:30:10.247,1.98,
2022-01-18 01:30:14.747,2.16,
2022-01-18 01:30:18.987,2.02,
2022-01-18 01:30:22.293,2.42,
2022-01-18 01:30:27.518,4.22,
2022-01-18 01:30:32.843,2.11,
2022-01-18 01:30:37.534,1.81,
2022-01-18 01:30:42.270,2.37,
2022-01-18 01:30:47.709,17.98,
2022-01-18 01:30:54.248,6.15,
2022-01-18 01:30:58.468,2.07,
2022-01-18 01:31:02.191,2.23,
2022-01-18 01:31:06.769,2.04,
2022-01-18 01:31:11.948,2.3,
2022-01-18 01:31:18.159,2.04,
2022-01-18 01:31:23.568,2.12,
2022-01-18 01:31:27.260,1.97,
2022-01-18 01:31:30.989,1.81,
2022-01-18 01:31:35.388,1.92,
2022-01-18 01:31:40.288,2.54,
2022-01-18 01:31:45.688,1.93,
2022-01-18 01:31:52.241,2.47,
2022-01-18 01:31:58.200,1.74,
2022-01-18 01:32:04.808,11.3,
2022-01-18 01:32:09.149,1.9,
2022-01-18 01:32:17.553,1.99,
2022-01-18 01:32:22.209,1.86,
2022-01-18 01:32:27.349,46.26,
2022-01-18 01:32:32.889,25.13,
2022-01-18 01:32:37.009,11.43,
2022-01-18 01:32:41.091,2.25,
2022-01-18 01:32:44.429,2.3,
2022-01-18 01:32:50.077,2,
2022-01-18 01:32:55.749,6.42,
2022-01-18 01:33:00.867,1.85,
2022-01-18 01:33:05.931,2.13,
2022-01-18 01:33:12.588,2.12,
2022-01-18 01:33:17.533,1.98,
2022-01-18 01:33:22.995,1.82,
2022-01-18 01:33:27.310,2.12,
2022-01-18 01:33:31.069,1.84,
2022-01-18 01:33:35.628,1.9,
2022-01-18 01:33:41.225,1.93,
2022-01-18 01:33:45.669,2.45,
2022-01-18 01:33:50.560,1.96,
2022-01-18 01:33:54.353,2.14,
2022-01-18 01:33:58.133,1.97,
2022-01-18 01:34:03.509,13.87,
2022-01-18 01:34:11.739,2.03,
2022-01-18 01:34:16.733,2.48,
2022-01-18 01:34:20.454,1.98,
2022-01-18 01:34:24.450,24.74,
2022-01-18 01:34:28.418,2.07,
2022-01-18 01:34:36.022,2.29,
2022-01-18 01:34:41.203,2.05,
2022-01-18 01:34:45.910,12,
2022-01-18 01:34:50.791,21.61,
2022-01-18 01:34:55.049,1.99,
2022-01-18 01:35:00.107,1.97,
2022-01-18 01:35:04.690,13.59,
2022-01-18 01:35:10.233,1.81,
2022-01-18 01:35:15.245,2.23,
2022-01-18 01:35:21.753,2.28,
2022-01-18 01:35:26.134,2.21,
2022-01-18 01:35:29.990,2.18,
2022-01-18 01:35:34.130,2.33,
2022-01-18 01:35:38.670,1.89,
2022-01-18 01:35:42.812,2.45,
2022-01-18 01:35:47.958,1.75,
2022-01-18 01:35:52.713,2.23,
2022-01-18 01:35:57.149,1.85,
2022-01-18 01:36:02.170,6.55,
2022-01-18 01:36:08.392,2.38,
2022-01-18 01:36:13.690,2.15,
2022-01-18 01:36:19.642,1.87,
2022-01-18 01:36:23.751,14.74,
2022-01-18 01:36:27.578,2,
2022-01-18 01:36:32.010,2.24,
2022-01-18 01:36:35.250,1.99,
2022-01-18 01:36:41.951,15.33,
2022-01-18 01:36:46.843,1.8,
2022-01-18 01:36:51.374,1.94,
2022-01-18 01:36:54.951,13.59,
2022-01-18 01:36:58.670,1.91,
2022-01-18 01:37:02.535,2.47,
2022-01-18 01:37:06.374,2.49,
2022-01-18 01:37:13.730,1.99,
2022-01-18 01:37:19.190,2.07,
