Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_image/,654,0,73,83.59272605810266,61.13516700000332,1881.7475409999993,17.0,0.9177535047618806,0.0,74,77,79,82,100,130,160,180,1900,1900,1900
,Aggregated,654,0,73,83.59272605810266,61.13516700000332,1881.7475409999993,17.0,0.9177535047618806,0.0,74,77,79,82,100,130,160,180,1900,1900,1900
