Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_250/,653,0,72,91.80032599540576,59.325666999995974,6681.166916999999,17.0,0.910932666838115,0.0,72,75,78,80,120,140,180,220,6700,6700,6700
,Aggregated,653,0,72,91.80032599540576,59.325666999995974,6681.166916999999,17.0,0.910932666838115,0.0,72,75,78,80,120,140,180,220,6700,6700,6700
