@timestamp,@billedDuration,@duration,@initDuration,,,
59:30.5,345,19.71,325.12,,,
10:24.8,242,11.5,230.39,,,
21:21.7,231,3.37,226.69,,,
32:16.8,231,6.91,224.05,,,
43:07.8,252,11.94,239.18,,,
54:00.3,256,14.45,241.06,,,
04:47.0,229,4.41,224.12,,,
15:33.9,278,16.36,260.81,,,
26:19.3,235,12.35,222.13,,,
37:09.4,237,15.24,220.93,,257,334.55
47:57.2,232,9.67,222.02,,,
58:47.2,250,14.16,235.41,,,
09:38.4,265,17.06,247.26,,,
20:30.6,273,4.52,267.67,,,
31:22.5,252,3.61,247.52,,,
42:11.8,199,5.43,193.46,,,
53:00.5,334,12.94,321,,,
03:49.2,305,7.77,297.13,,,
14:37.6,236,5.09,230.14,,,
25:26.1,258,16.43,241.1,,,
