@timestamp,@billedDuration,@duration,@initDuration,,,,
42:16.6,286,3.29,281.89,,,,
53:04.2,247,4.7,241.59,,,,
03:52.9,246,3.74,241.71,,,,
14:41.6,295,3.66,290.79,,,,
25:29.6,250,3.31,246.5,,,,
36:19.8,242,3.15,238.49,,,,
47:10.3,232,3.39,227.75,,,,
58:00.0,226,3.14,222.03,,,,
08:47.6,220,3.36,216.5,,,,
19:40.1,268,3.52,263.98,,,,
30:28.4,264,3.46,259.58,,,,
41:18.0,275,3.54,270.48,,,,
52:07.1,231,3.62,227.29,,,252.25,297.85
02:57.4,233,3.28,229.03,,,,
13:47.1,217,2.93,213.28,,,,
24:37.3,352,3.08,348.55,,,,
35:22.0,206,2.87,202.4,,,,
46:11.1,264,3.26,260,,,,
57:00.9,242,3.2,238.31,,,,
07:51.0,249,3.45,245.26,,,,
