@timestamp,@billedDuration,@duration,@initDuration,,,,,
10:28.2,260,3.63,255.5,,,,,
21:24.4,304,3.15,300.84,,,,,
32:19.7,205,3,201.55,,,,,
43:12.1,234,3.07,230.42,,,,,
54:02.8,222,3.22,217.82,,,,,
04:49.8,269,3.2,265.74,,,,,
15:36.5,248,3.48,243.66,,,,,
26:21.9,245,3.6,241.23,,,,251.75,304
37:12.6,262,3.25,258.57,,,,,
47:59.6,267,3.45,262.82,,,,,
58:49.8,229,3.26,225.08,,,,,
09:41.4,304,3.37,300.41,,,,,
20:33.8,252,3.33,247.83,,,,,
31:25.1,231,3.27,227.59,,,,,
42:14.7,238,3.2,233.9,,,,,
53:03.0,294,3.25,290.07,,,,,
03:51.7,236,3.32,232.56,,,,,
14:39.9,243,3.24,239.36,,,,,
25:28.5,235,3.22,230.86,,,,,
36:18.4,257,3.57,253.17,,,,,
