Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_image/,26,2,1900.0,1826.4938638077206,10.7922499992128,2460.478082999998,15.692307692307692,0.001727784954179413,0.00013290653493687793,1900,2000,2100,2100,2100,2200,2500,2500,2500,2500,2500
,Aggregated,26,2,1900.0,1826.4938638077206,10.7922499992128,2460.478082999998,15.692307692307692,0.001727784954179413,0.00013290653493687793,1900,2000,2100,2100,2100,2200,2500,2500,2500,2500,2500
