Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_250/,7031,0,74,86.08333893614301,59.73666699992464,4656.397709,17.0,0.9138851023772938,0.0,74,77,81,84,93,150,200,300,690,4700,4700
,Aggregated,7031,0,74,86.08333893614301,59.73666699992464,4656.397709,17.0,0.9138851023772938,0.0,74,77,81,84,93,150,200,300,690,4700,4700
