Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/default/app_lambda_250/,123,0,100.0,178.8233930162982,72.7384579995487,5885.814166999979,17.0,0.01675017042964598,0.0,100,130,140,160,190,260,650,810,5900,5900,5900
,Aggregated,123,0,100.0,178.8233930162982,72.7384579995487,5885.814166999979,17.0,0.01675017042964598,0.0,100,130,140,160,190,260,650,810,5900,5900,5900
