@timestamp,@billedDuration,@duration,@initDuration,total,1264.591,1353.326
39:12.2,10,9.72,1235.69,1245.69,,
49:44.7,13,12.16,1239.79,1252.79,,
00:16.0,11,10.14,1362.39,1373.39,,
10:46.3,10,9.06,1224.04,1234.04,,
21:16.3,13,12.25,1339.27,1352.27,,
31:49.5,10,9.38,1228,1238,,
47:28.0,13,12.07,1218.95,1231.95,,
59:07.6,9,8.95,1213.08,1222.08,,
10:34.3,13,12.17,1303.44,1316.44,,
21:55.7,10,9.45,1233.72,1243.72,,
33:26.5,10,9.05,1291.53,1301.53,,
44:46.3,9,8.57,1141.5,1150.5,,
56:07.6,10,9.85,1331.69,1341.69,,
07:27.9,10,9.99,1287.73,1297.73,,
18:45.3,13,12.95,1219.77,1232.77,,
30:01.4,9,8.92,1172.98,1181.98,,
41:24.1,10,9.46,1299.73,1309.73,,
52:44.3,12,11.73,1195.22,1207.22,,
04:02.9,10,9.67,1291.72,1301.72,,
15:21.9,13,12.31,1243.58,1256.58,,
