@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration
2021-12-02 20:36:21.443,922,921.34,201000000,396.56
2021-12-02 20:36:22.641,21,20.77,202000000,
2021-12-02 20:36:23.876,16,15.05,202000000,
2021-12-02 20:36:24.982,29,28.44,212000000,
2021-12-02 20:36:26.051,15,14.7,212000000,
2021-12-02 20:36:27.214,16,15.07,213000000,
2021-12-02 20:36:28.349,15,14.86,213000000,
2021-12-02 20:36:29.423,16,15.03,213000000,
2021-12-02 20:36:30.550,15,14.81,213000000,
2021-12-02 20:36:31.634,16,15.07,215000000,
2021-12-02 20:36:32.729,16,15.24,215000000,
2021-12-02 20:36:33.815,19,18.59,215000000,
2021-12-02 20:36:34.898,15,14.97,215000000,
2021-12-02 20:36:35.991,17,16.85,216000000,
2021-12-02 20:36:37.066,15,14.79,217000000,
2021-12-02 20:36:38.149,15,14.75,217000000,
2021-12-02 20:36:39.233,15,14.95,217000000,
2021-12-02 20:36:40.316,16,15.09,217000000,
2021-12-02 20:36:41.398,15,14.84,217000000,
2021-12-02 20:36:42.491,15,14.79,217000000,
2021-12-02 20:36:43.592,15,14.91,217000000,
2021-12-02 20:36:44.679,16,15.28,217000000,
2021-12-02 20:36:45.755,15,14.9,217000000,
2021-12-02 20:36:46.841,15,14.86,217000000,
2021-12-02 20:36:47.924,17,16.94,217000000,
2021-12-02 20:36:49.006,15,14.98,217000000,
2021-12-02 20:36:50.095,15,14.78,217000000,
2021-12-02 20:36:51.185,17,16.05,217000000,
2021-12-02 20:36:52.270,15,14.68,219000000,
2021-12-02 20:36:53.361,15,14.92,219000000,
2021-12-02 20:36:54.447,15,14.65,219000000,
2021-12-02 20:36:55.523,15,14.73,219000000,
2021-12-02 20:36:56.603,15,14.66,219000000,
2021-12-02 20:36:57.684,16,15.06,219000000,
2021-12-02 20:36:58.763,15,14.87,219000000,
2021-12-02 20:36:59.861,15,14.72,219000000,
2021-12-02 20:37:00.946,15,14.66,219000000,
2021-12-02 20:37:02.025,16,15.18,219000000,
2021-12-02 20:37:03.109,17,16.64,219000000,
2021-12-02 20:37:04.230,15,14.96,219000000,
2021-12-02 20:37:05.318,15,14.8,219000000,
2021-12-02 20:37:06.397,17,16.45,219000000,
2021-12-02 20:37:07.475,15,14.58,219000000,
2021-12-02 20:37:08.560,15,14.72,219000000,
2021-12-02 20:37:09.713,16,15.04,219000000,
2021-12-02 20:37:10.919,16,15.28,219000000,
2021-12-02 20:37:12.125,15,14.71,219000000,
2021-12-02 20:37:13.211,15,14.82,219000000,
2021-12-02 20:37:14.301,15,14.71,219000000,
2021-12-02 20:37:15.391,15,14.98,219000000,
2021-12-02 20:37:16.506,17,16.96,219000000,
2021-12-02 20:37:17.587,17,16,219000000,
2021-12-02 20:37:18.675,18,17.14,219000000,
2021-12-02 20:37:19.760,16,15.48,219000000,
2021-12-02 20:37:20.842,15,14.69,219000000,
2021-12-02 20:37:21.921,17,16.21,219000000,
2021-12-02 20:37:23.005,15,14.92,219000000,
2021-12-02 20:37:24.159,84,83.03,219000000,
2021-12-02 20:37:25.176,15,14.69,219000000,
2021-12-02 20:37:26.255,15,14.4,219000000,
2021-12-02 20:37:27.333,15,14.94,219000000,
2021-12-02 20:37:28.561,16,15.03,219000000,
2021-12-02 20:37:29.662,23,22.9,219000000,
2021-12-02 20:37:30.760,15,14.81,219000000,
2021-12-02 20:37:31.843,15,14.76,219000000,
2021-12-02 20:37:32.959,18,17.66,219000000,
2021-12-02 20:37:34.055,15,14.84,219000000,
2021-12-02 20:37:35.162,15,14.64,219000000,
2021-12-02 20:37:36.242,17,16.08,219000000,
2021-12-02 20:37:37.322,16,15.06,219000000,
2021-12-02 20:37:38.397,15,14.61,219000000,
2021-12-02 20:37:39.493,15,14.73,219000000,
2021-12-02 20:37:40.578,15,14.76,219000000,
2021-12-02 20:37:41.665,16,15.11,219000000,
2021-12-02 20:37:42.748,15,14.78,219000000,
2021-12-02 20:37:43.830,15,14.52,219000000,
2021-12-02 20:37:44.912,15,14.75,219000000,
2021-12-02 20:37:46.002,16,15.09,219000000,
2021-12-02 20:37:47.079,15,14.84,219000000,
2021-12-02 20:37:48.162,17,16.63,219000000,
2021-12-02 20:37:49.237,15,14.81,219000000,
2021-12-02 20:37:50.320,16,15.05,219000000,
2021-12-02 20:37:51.399,17,16.02,219000000,
2021-12-02 20:37:52.479,15,14.79,219000000,
2021-12-02 20:37:53.554,15,14.6,219000000,
2021-12-02 20:37:54.642,16,15.3,219000000,
2021-12-02 20:37:55.725,15,14.81,219000000,
2021-12-02 20:37:56.833,15,14.6,219000000,
2021-12-02 20:37:57.919,15,14.58,219000000,
2021-12-02 20:37:58.996,16,15.17,219000000,
2021-12-02 20:38:00.203,93,92.6,219000000,
2021-12-02 20:38:01.287,15,14.74,219000000,
2021-12-02 20:38:02.376,16,15.39,219000000,
2021-12-02 20:38:03.459,17,16.96,219000000,
2021-12-02 20:38:04.542,15,14.71,219000000,
2021-12-02 20:38:05.633,15,14.68,219000000,
2021-12-02 20:38:06.830,17,16.02,219000000,
2021-12-02 20:38:07.913,16,15.05,219000000,
2021-12-02 20:38:09.013,15,14.95,219000000,
2021-12-02 20:38:10.130,15,14.93,219000000,
2021-12-02 20:38:11.217,15,14.49,219000000,
2021-12-02 20:38:12.295,16,15.15,219000000,
2021-12-02 20:38:13.373,15,14.6,219000000,
2021-12-02 20:38:14.456,16,15,219000000,
2021-12-02 20:38:15.583,15,14.59,219000000,
2021-12-02 20:38:17.048,15,14.87,219000000,
